Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1996-12-11,705.989990234375,709.47998046875,704.4299926757812,704.6799926757812,28000,0,0
1996-12-12,705.1099853515625,706.010009765625,688.739990234375,689.3800048828125,25900,0,0
1996-12-13,690.4400024414062,695.719970703125,677.6400146484375,689.0700073242188,26500,0,0
1996-12-16,686.969970703125,686.969970703125,667.7100219726562,673.9199829101562,22800,0,0
1996-12-17,675.3499755859375,680.0900268554688,660.3900146484375,663.3499755859375,31600,0,0
1996-12-18,662.0700073242188,671.4299926757812,655.469970703125,661.3900146484375,31500,0,0
1996-12-19,668.1300048828125,690.969970703125,668.1300048828125,690.969970703125,30400,0,0
1996-12-20,695.3300170898438,703.510009765625,692.469970703125,700.8699951171875,30000,0,0
1996-12-23,691.97998046875,697.1199951171875,684.8099975585938,684.8099975585938,21500,0,0
1996-12-24,683.1099853515625,687.0599975585938,677.5599975585938,677.760009765625,23800,0,0
1996-12-26,676.2100219726562,676.2100219726562,655.239990234375,659.010009765625,25500,0,0
1996-12-27,654.8200073242188,657.0399780273438,643.5700073242188,651.219970703125,35100,0,0
1997-01-03,647.6699829101562,655.7000122070312,635.4099731445312,653.7899780273438,13900,0,0
1997-01-06,637.97998046875,637.97998046875,625.010009765625,626.8699951171875,17600,0,0
1997-01-07,622.4500122070312,627.6099853515625,609.1199951171875,611.0499877929688,24100,0,0
1997-01-08,608.530029296875,623.3900146484375,600.5599975585938,621.4099731445312,34200,0,0
1997-01-09,619.0999755859375,640.8099975585938,612.4099731445312,639.8699951171875,36100,0,0
1997-01-10,637.989990234375,653.5900268554688,636.8099975585938,648.6900024414062,36500,0,0
1997-01-13,659.8099975585938,664.9500122070312,655.739990234375,659.5399780273438,28700,0,0
1997-01-14,656.6699829101562,687.6599731445312,656.6699829101562,686.5900268554688,36600,0,0
1997-01-15,690.1799926757812,699.760009765625,686.02001953125,699.760009765625,42000,0,0
1997-01-16,701.6400146484375,711.9600219726562,694.3900146484375,711.8599853515625,47300,0,0
1997-01-17,713.0700073242188,720.4099731445312,695.77001953125,701.1799926757812,48200,0,0
1997-01-20,697.5599975585938,720.6900024414062,697.5599975585938,718.4600219726562,43000,0,0
1997-01-21,721.0399780273438,721.7899780273438,690.5399780273438,690.5399780273438,44300,0,0
1997-01-22,686.7100219726562,686.8900146484375,671.9099731445312,678.9400024414062,36700,0,0
1997-01-23,679.3400268554688,685.1400146484375,672.72998046875,676.9099731445312,31000,0,0
1997-01-24,669.030029296875,679.5599975585938,658.1799926757812,679.5599975585938,35500,0,0
1997-01-27,684.3099975585938,685.4600219726562,664.6799926757812,664.7000122070312,28300,0,0
1997-01-28,661.6599731445312,677.6300048828125,653.4199829101562,662.8499755859375,30400,0,0
1997-01-29,663.3300170898438,672.9000244140625,654.9500122070312,663.5599975585938,30200,0,0
1997-01-30,663.6500244140625,679.0399780273438,662.27001953125,676.52001953125,28800,0,0
1997-01-31,678.1900024414062,687.989990234375,678.1699829101562,685.8400268554688,32000,0,0
1997-02-03,682.260009765625,696.2100219726562,681.010009765625,687.25,27300,0,0
1997-02-04,687.8400268554688,696.239990234375,687.8400268554688,695.9500122070312,33100,0,0
1997-02-05,698.1799926757812,708.2000122070312,697.9500122070312,698.5999755859375,38600,0,0
1997-02-06,698.5399780273438,704.4400024414062,693.8200073242188,700.219970703125,34100,0,0
1997-02-10,701.4299926757812,709.7999877929688,701.4299926757812,709.7899780273438,29300,0,0
1997-02-11,711.1099853515625,713.8800048828125,707.8599853515625,713.4299926757812,41400,0,0
1997-02-12,714.8200073242188,715.8699951171875,708.719970703125,712.5,35300,0,0
1997-02-13,713.6400146484375,726.1300048828125,713.6400146484375,716.7100219726562,49800,0,0
1997-02-14,717.2899780273438,723.02001953125,715.0,721.0,39100,0,0
1997-02-17,720.4199829101562,721.5,712.9299926757812,712.9299926757812,31500,0,0
1997-02-18,712.6199951171875,715.1799926757812,703.989990234375,706.9400024414062,30400,0,0
1997-02-19,708.6400146484375,713.6699829101562,706.5800170898438,713.6699829101562,31100,0,0
1997-02-20,713.5,716.1799926757812,707.8300170898438,711.1300048828125,35000,0,0
1997-02-21,710.8699951171875,711.75,686.7100219726562,686.719970703125,30800,0,0
1997-02-24,681.47998046875,686.9400024414062,676.1099853515625,676.5900268554688,24100,0,0
1997-02-25,676.72998046875,682.8099975585938,670.4099731445312,682.8099975585938,25300,0,0
1997-02-26,683.5900268554688,691.27001953125,679.6599731445312,679.7100219726562,29900,0,0
1997-02-27,678.1099853515625,679.7999877929688,668.7100219726562,669.4099731445312,30300,0,0
1997-02-28,669.010009765625,679.0700073242188,664.75,676.530029296875,37800,0,0
1997-03-03,677.1799926757812,684.4400024414062,677.1799926757812,679.6400146484375,27000,0,0
1997-03-04,679.510009765625,683.3200073242188,675.8200073242188,679.969970703125,28100,0,0
1997-03-05,680.47998046875,684.5499877929688,673.6300048828125,674.9000244140625,38800,0,0
1997-03-06,675.25,685.9500122070312,675.25,678.1099853515625,41300,0,0
1997-03-07,679.8300170898438,685.260009765625,679.8300170898438,681.219970703125,37400,0,0
1997-03-10,673.9099731445312,674.2899780273438,667.2899780273438,667.3499755859375,29400,0,0
1997-03-11,665.8300170898438,665.8300170898438,654.9199829101562,655.9500122070312,29800,0,0
1997-03-12,655.760009765625,663.9000244140625,655.0700073242188,663.9000244140625,30000,0,0
